detectTime;midx;midy;x;y;width;height;roll;pitch;yaw;correctureX;correctureY;localX;localY;localXSet;localYSet
-976;-48;132;400;420;385;385;-0.00133881;0.0150828;-0.497174;-0.0253388;0.0810828;-0.0227881;-0.00114184;0;3.09133e-13
24;-54;120;397;411;378;378;0.00138239;0.0211018;-0.49392;-0.0256176;0.0811018;-0.0227881;-0.00114184;0;3.09133e-13
24;-51;104;397;392;384;384;0.0016131;0.0299839;-0.490615;-0.0238869;0.0819839;-0.0227881;-0.00114184;0;3.09133e-13
24;-60;119;399;418;362;362;0.00106354;0.0233974;-0.488106;-0.0289365;0.0828974;-0.0227881;-0.00114184;0;3.09133e-13
25;-67;120;368;395;410;410;0.00173025;0.0230313;-0.487942;-0.0317697;0.0830313;-0.0227881;-0.00114184;0;3.09133e-13
25;-75;104;366;385;399;399;0.00455109;0.0306532;-0.491026;-0.0329489;0.0826532;-0.0227881;-0.00114184;0;3.09133e-13
24;-86;94;355;375;398;398;0.007935;0.0335814;-0.496827;-0.035065;0.0805814;-0.0227881;-0.00114184;0;3.09133e-13
24;-89;92;366;387;370;370;0.00761436;0.0336343;-0.498053;-0.0368856;0.0796343;-0.0227881;-0.00114184;0;3.09133e-13
24;-88;92;364;384;377;377;0.00469934;0.0313254;-0.498677;-0.0393007;0.0773254;-0.0227881;-0.00114184;0;3.09133e-13
25;-89;104;356;389;391;391;0.00607533;0.026723;-0.499827;-0.0384247;0.078723;-0.0227881;-0.00114184;0;3.09133e-13
-976;-90;97;351;378;399;399;0.0072227;0.0287661;-0.498787;-0.0377773;0.0772661;-0.0227881;-0.00114184;0;3.09133e-13
24;-77;89;371;377;385;385;0.00137136;0.0378051;-0.495501;-0.0371286;0.0823051;-0.0227881;-0.00114184;0;3.09133e-13
25;-66;79;390;375;369;369;-0.00443897;0.0443335;-0.49327;-0.037439;0.0838335;-0.0227881;-0.00114184;0;3.09133e-13
24;-60;74;391;365;379;379;-0.0113718;0.0468037;-0.492865;-0.0413718;0.0838037;-0.0227881;-0.00114184;0;3.09133e-13
24;-62;59;383;344;391;391;-0.0129852;0.0573726;-0.495806;-0.0439852;0.0868726;-0.0227881;-0.00114184;0;3.09133e-13
25;-76;45;370;331;389;389;-0.00819952;0.064102;-0.501037;-0.0461995;0.086602;-0.0227881;-0.00114184;0;3.09133e-13
24;-74;59;373;346;386;386;-0.0106619;0.0566247;-0.504132;-0.0476619;0.0861247;-0.0227881;-0.00114184;0;3.09133e-13
25;-59;66;389;354;385;385;-0.0199734;0.0551004;-0.506457;-0.0494734;0.0881004;-0.0227881;-0.00114184;0;3.09133e-13
24;-40;67;400;347;400;400;-0.0266956;0.0563551;-0.508273;-0.0466956;0.0898551;-0.0227881;-0.00114184;0;3.09133e-13
24;-31;69;412;352;394;394;-0.0366489;0.056132;-0.50783;-0.0521489;0.090632;-0.0227881;-0.00114184;0;3.09133e-13
-976;-6;68;450;364;369;369;-0.0511939;0.0574332;-0.509064;-0.0541939;0.0914332;-0.0227881;-0.00114184;0;3.09133e-13
25;19;62;461;344;397;397;-0.0691253;0.0628247;-0.512442;-0.0596253;0.0938247;-0.0227881;-0.00114184;0;3.09133e-13
25;34;65;477;348;394;394;-0.0751842;0.0623093;-0.512705;-0.0581842;0.0948093;-0.0227881;-0.00114184;0;3.09133e-13
24;38;74;472;348;412;412;-0.0793054;0.0580712;-0.509628;-0.0603054;0.0950712;-0.0227881;-0.00114184;0;3.09133e-13
24;50;68;510;368;360;360;-0.0861169;0.0606242;-0.506905;-0.0611169;0.0946242;-0.0227881;-0.00114184;0;3.09133e-13
25;69;60;508;339;403;403;-0.0976249;0.06449;-0.501693;-0.0631249;0.09449;-0.0227881;-0.00114184;0;3.09133e-13
24;97;71;544;358;386;386;-0.115221;0.0622527;-0.497259;-0.0667209;0.0977527;-0.0227881;-0.00114184;0;3.09133e-13
25;136;72;589;365;375;375;-0.136777;0.0654941;-0.493582;-0.0687774;0.101494;-0.0227881;-0.00114184;0;3.09133e-13
24;165;53;611;339;388;388;-0.15012;0.0823998;-0.494868;-0.0676204;0.1089;-0.0227881;-0.00114184;0;3.09133e-13
24;184;42;630;328;388;388;-0.157494;0.0857959;-0.493716;-0.0654936;0.106796;-0.0227881;-0.00114184;0;3.09133e-13
-976;206;51;654;339;384;384;-0.170119;0.0833487;-0.495017;-0.0671192;0.108849;-0.0227881;-0.00114184;0;3.09133e-13
25;229;42;679;332;381;381;-0.181698;0.0904483;-0.499274;-0.0671978;0.111448;-0.0227881;-0.00114184;0;3.09133e-13
25;241;44;699;342;365;365;-0.188686;0.09091;-0.499766;-0.0681857;0.11291;-0.0227881;-0.00114184;0;3.09133e-13
23;255;55;710;350;371;371;-0.192457;0.0878931;-0.498854;-0.0649568;0.115393;-0.0227881;-0.00114184;0;3.09133e-13
24;277;57;730;350;375;375;-0.209151;0.0886968;-0.496704;-0.0706507;0.117197;-0.0227881;-0.00114184;0;3.09133e-13
24;299;57;750;348;378;378;-0.218329;0.0908016;-0.495208;-0.0688294;0.119302;-0.0227881;-0.00114184;0;3.09133e-13
24;312;54;750;332;404;404;-0.230644;0.0913698;-0.492832;-0.074644;0.11837;-0.0227881;-0.00114184;0;3.09133e-13
24;325;53;775;343;381;381;-0.238016;0.0950764;-0.492515;-0.0755156;0.121576;-0.0227881;-0.00114184;0;3.09133e-13
24;334;54;782;342;385;385;-0.244181;0.0973276;-0.492329;-0.0771815;0.124328;-0.0227881;-0.00114184;0;3.09133e-13
25;348;48;796;336;384;384;-0.252309;0.101119;-0.49294;-0.078309;0.125119;-0.0227881;-0.00114184;0;3.09133e-13
-976;364;42;811;329;386;386;-0.258501;0.103504;-0.49347;-0.0765006;0.124504;-0.0227881;-0.00114184;0;3.09133e-13
25;370;37;814;321;392;392;-0.26547;0.106766;-0.493946;-0.0804697;0.125266;-0.0227881;-0.00114184;0;3.09133e-13
26;376;35;816;315;401;401;-0.270272;0.109144;-0.493982;-0.0822719;0.126644;-0.0227881;-0.00114184;0;3.09133e-13
24;383;30;837;324;373;373;-0.277959;0.112634;-0.492986;-0.0864589;0.127634;-0.0227881;-0.00114184;0;3.09133e-13
25;404;24;850;310;388;388;-0.28988;0.116628;-0.492;-0.0878799;0.128628;-0.0227881;-0.00114184;0;3.09133e-13
25;417;25;869;317;376;376;-0.297514;0.117943;-0.489919;-0.0890136;0.130443;-0.0227881;-0.00114184;0;3.09133e-13
25;425;24;873;312;384;384;-0.30206;0.12039;-0.488645;-0.08956;0.13239;-0.0227881;-0.00114184;0;3.09133e-13
25;441;17;908;324;347;347;-0.306439;0.124163;-0.487823;-0.0859393;0.132663;-0.0227881;-0.00114184;0;3.09133e-13
24;452;8;919;315;347;347;-0.317022;0.130017;-0.487465;-0.0910223;0.134017;-0.0227881;-0.00114184;0;3.09133e-13
25;469;4;944;319;330;330;-0.326613;0.132937;-0.485563;-0.0921126;0.134937;-0.0227881;-0.00114184;0;3.09133e-13
-976;477;6;955;324;325;325;-0.333221;0.134157;-0.482869;-0.0947211;0.137157;-0.0227881;-0.00114184;0;3.09133e-13
111;487;-2;1019;370;216;216;-0.348232;0.142489;-0.482087;-0.104732;0.141489;-0.0227881;-0.00114184;0;3.09133e-13
112;502;-9;1044;373;197;197;-0.356536;0.145874;-0.481517;-0.105536;0.141374;-0.0227881;-0.00114184;0;3.09133e-13
111;515;-14;1059;370;193;193;-0.364486;0.15055;-0.481696;-0.106986;0.14355;-0.0227881;-0.00114184;0;3.09133e-13
93;529;-20;1078;369;182;182;-0.367608;0.152316;-0.481572;-0.103107;0.142316;-0.0227881;-0.00114184;0;3.09133e-13
73;533;-22;1081;366;184;184;-0.365525;0.151166;-0.482169;-0.0990251;0.140166;-0.0227881;-0.00114184;0;3.09133e-13
72;529;-22;1074;363;190;190;-0.36305;0.150989;-0.482538;-0.0985499;0.139989;-0.0227881;-0.00114184;0;3.09133e-13
72;525;-22;1076;369;179;179;-0.363268;0.150671;-0.48205;-0.100768;0.139671;-0.0227881;-0.00114184;0;3.09133e-13
